
# Muthanna Aug 2024 UAE
#-----------,-------------,----------,---------,-----------,----------------------
# minFreq   , maxFreq     , mode     , step    , color     , name
#-----------,-------------,----------,---------,-----------,----------------------HF (3KHz-30MHz
135700      , 137800      , CW       , 10      , #90009470 , Ham 2200m
472000      , 479000      , CW       , 10      , #90009470 , Ham 630m
#-----------,-------------,----------,---------,-----------,----------------------
1800000     , 2000000     , CW       , 10      , #90009470 , Ham 160m
3500000     , 3600000     , CW       , 10      , #90009470 , Ham 80m CW/Data
3600000     , 4000000     , CW       , 10      , #90009470 , Ham 80m Phone
5351500     , 5366500     , USB      , 10      , #90009470 , Ham 60m
6765000     , 6795000     , Demod Off, 10      , #90909090 , ISM
7000000     , 7125000     , CW       , 10      , #90009470 , Ham 40m CW/Data
7125000     , 7300000     , LSB      , 10      , #90009470 , Ham 40m Phone
#-----------,-------------,----------,---------,-----------,----------------------
10100000    , 10150000    , CW       , 10      , #90009470 , Ham 30m CW/Data
13553000    , 13567000    , Demod Off, 10      , #90909090 , ISM
14000000    , 14150000    , CW       , 10      , #90009470 , Ham 20m CW/Data
14150000    , 14350000    , USB      , 10      , #90009470 , Ham 20m Phone
18068000    , 18110000    , CW       , 10      , #90009470 , Ham 17m CW/Data
18110000    , 18168000    , USB      , 10      , #90009470 , Ham 17m
21000000    , 21200000    , CW       , 10      , #90009470 , Ham 15m CW/Data
21200000    , 21450000    , USB      , 10      , #90009470 , Ham 15m
24890000    , 24930000    , CW       , 10      , #90009470 , Ham 12m CW/Data
24930000    , 24990000    , USB      , 10      , #90009470 , Ham 12m
26957000    , 27283000    , Demod Off, 10      , #90909090 , ISM
26960000    , 27410000    , AM       , 5000    , #90FF0000 , CB Radio
28000000    , 28300000    , CW       , 10      , #90009470 , Ham 10m CW/Data
28300000    , 29700000    , USB      , 10      , #90009470 , Ham 10m
#-----------,-------------,----------,---------,-----------,----------------------VHF (30MHz-300MHz)
40660000    , 40700000    , Demod off, 10      , #90909090 , ISM
50000000    , 50100000    , CW       , 10      , #90009470 , Ham 6m CW/Data
50100000    , 54000000    , USB      , 10      , #90009470 , Ham 6m
#-----------,-------------,----------,---------,-----------,----------------------
# FM
87500000    , 108000000   , WFM      , 200000  , #902E98BB , Broadcast FM
#-----------,-------------,----------,---------,-----------,----------------------
# Airband
108000000   , 118000000   , AM       , 5000    , #906600FF , AirBand VOR/ILS
118000000   , 137000000   , AM       , 5000    , #900000FF , AirBand Voice
#-----------,-------------,----------,---------,-----------,----------------------
144000000   , 144100000   , CW       , 10      , #90009470 , Ham 2m CW/Data
144100000   , 148000000   , NFM      , 10      , #90009470 , Ham 2m
156000000   , 162025000   , NFM      , 12500   , #90000080 , Radio Marine
174000000   , 240000000   , Demod Off, 1536000 , #902E98BB , Broadcast DAB+
222000000   , 225000000   , NFM      , 10      , #90009470 , Ham 1.25m
#-----------,-------------,----------,---------,-----------,----------------------UHF (300MHz-3GHz)
390000000   , 400000000   , Demod Off, 24000   , #902F4F00 , Radio Tetra
400000000   , 420000000   , NFM      , 12500   , #904F004F , Radio UHF
420000000   , 440000000   , NFM      , 12500   , #90009470 , Ham 70cm
433050000   , 434790000   , Demod Off, 10      , #90909090 , ISM
440000000   , 470000000   , NFM      , 12500   , #904F004F , Radio UHF
446000000   , 446200000   , NFM      , 6250    , #9000FF00 , Radio PMR446
462550000   , 462725000   , NFM      , 12500   , #9040FF40 , Radio FRS
467562500   , 467712500   , NFM      , 12500   , #9040FF40 , Radio FRS
470000000   , 478000000   , Demod Off, 250000  , #902E98BB , Broadcast
#-----------,-------------,----------,---------,-----------,----------------------
#nnn MHz
902000000   , 928000000   , NFM      , 10      , #90009470 , Ham 33cm
902000000   , 928000000   , Demod Off, 10      , #90909090 , ISM
#-----------,-------------,----------,---------,-----------,----------------------
#N GHz
1240000000  , 1300000000  , NFM      , 10      , #90009470 , Ham 23cm
2300000000  , 2310000000  , NFM      , 10      , #90009470 , Ham GHz
2390000000  , 2450000000  , NFM      , 10      , #90009470 , Ham GHz
2400000000  , 2500000000  , Demod Off, 10      , #90909090 , ISM
#-----------,-------------,----------,---------,-----------,----------------------SHF (3GHz-30GHz)
3300000000  , 3500000000  , NFM      , 10      , #90009470 , Ham GHz
5650000000  , 5925000000  , NFM      , 10      , #90009470 , Ham GHz
5725000000  , 5875000000  , Demod Off, 10      , #90909090 , ISM
#-----------,-------------,----------,---------,-----------,----------------------
#NN GHz
10000000000 , 10500000000 , NFM      , 10      , #90009470 , Ham GHz
24000000000 , 24250000000 , NFM      , 10      , #90009470 , Ham GHz
24000000000 , 24250000000 , Demod Off, 10      , #90909090 , ISM
#-----------,-------------,----------,---------,-----------,----------------------EHF (30GHz-300GHz)
47000000000 , 47200000000 , NFM      , 10      , #90009470 , Ham GHz
61000000000 , 61500000000 , Demod Off, 10      , #90909090 , ISM
77000000000 , 81000000000 , NFM      , 10      , #90009470 , Ham GHz
#-----------,-------------,----------,---------,-----------,----------------------
#NNN GHz
122000000000, 123000000000, Demod Off, 10      , #90909090 , ISM
122250000000, 123000000000, NFM      , 10      , #90009470 , Ham GHz
134000000000, 141000000000, NFM      , 10      , #90009470 , Ham GHz
241000000000, 250000000000, NFM      , 10      , #90009470 , Ham GHz
244000000000, 246000000000, Demod Off, 10      , #90909090 , ISM
#-----------,-------------,----------,---------,-----------,----------------------
